page_title,page_namespace,wayback_api_url,wayback_url,el_to_domain_index,el_to_path
Daredevil_(película),0,http://archive.org/wayback/available?url=http://findarticles.com/p/articles/mi_m0EIN/is_2003_Feb_26/ai_98082015/,http://web.archive.org/web/20130527051626/http://findarticles.com/p/articles/mi_m0EIN/is_2003_Feb_26/ai_98082015/,https://today.archive.,/20120715073740/http://findarticles.com/p/articles/mi_m0EIN/is_2003_Feb_26/ai_98082015/
Darren_James,0,http://archive.org/wayback/available?url=http://www.montrealmirror.com/ARCHIVES/2004/042904/cover_news.html,http://web.archive.org/web/20120630174159/http://www.montrealmirror.com/ARCHIVES/2004/042904/cover_news.html,https://today.archive.,/20120630175253/http://www.montrealmirror.com/ARCHIVES/2004/042904/cover_news.html
ESR_(electrónica),0,http://archive.org/wayback/available?url=http://shop.anatekcorp.com/clientuploads/directory/products/2003esrchart.jpg,http://web.archive.org/web/20141220095845/http://shop.anatekcorp.com/clientuploads/directory/products/2003esrchart.jpg,https://today.archive.,/20141228032517/http://shop.anatekcorp.com/clientuploads/directory/products/2003esrchart.jpg
El_Viejo_(historieta),0,"http://archive.org/wayback/available?url=http://noticias.terra.com.ar/sociedad/el-comic-el-viejo-desembarca-en-argentina,d589983c717a0410VgnCLD2000000ec6eb0aRCRD.html","http://web.archive.org/web/20160303184055/http://noticias.terra.com.ar/sociedad/el-comic-el-viejo-desembarca-en-argentina,d589983c717a0410VgnCLD2000000ec6eb0aRCRD.html",https://today.archive.,"/20150126140505/http://noticias.terra.com.ar/sociedad/el-comic-el-viejo-desembarca-en-argentina,d589983c717a0410VgnCLD2000000ec6eb0aRCRD.html"
Elecciones_vicepresidenciales_de_Ecuador_de_1998,0,http://archive.org/wayback/available?url=http://www.explored.com.ec/noticias-ecuador/pedro-aguayo-es-el-nuevo-vicepresidente-66355-66355.html,http://web.archive.org/web/20120222102215/http://www.explored.com.ec/noticias-ecuador/pedro-aguayo-es-el-nuevo-vicepresidente-66355-66355.html,https://today.archive.,/20110612081447/http://www.explored.com.ec/noticias-ecuador/pedro-aguayo-es-el-nuevo-vicepresidente-66355-66355.html
Emilia_Fahlin,0,http://archive.org/wayback/available?url=http://www.london2012.com/athlete/fahlin-emilia-1018147/,http://web.archive.org/web/20130402021703/http://www.london2012.com/athlete/fahlin-emilia-1018147/,https://today.archive.,/20130411071337/http://www.london2012.com/athlete/fahlin-emilia-1018147/
Energía_(álbum),0,http://archive.org/wayback/available?url=http://www.amprofon.com.mx/top-album.php,http://web.archive.org/web/20180215171415/http://amprofon.com.mx:80/top-album.php,https://today.archive.,/20160729004834/http://www.amprofon.com.mx/top-album.php
Estrela_Clube_Primeiro_de_Maio,0,"http://archive.org/wayback/available?url=http://www.angop.ao/angola/pt_pt/noticias/desporto/2015/9/40/Futebol-Maio-sagra-campeao-nacional-segunda-divisao,c5fe64fa-b11a-4365-a560-f5660dd256ab.html","http://web.archive.org/web/20190724025953/http://www.angop.ao/angola/pt_pt/noticias/desporto/2015/9/40/Futebol-Maio-sagra-campeao-nacional-segunda-divisao,c5fe64fa-b11a-4365-a560-f5660dd256ab.html",https://today.archive.,"/20171127121623/http://www.angop.ao/angola/pt_pt/noticias/desporto/2015/9/40/Futebol-Maio-sagra-campeao-nacional-segunda-divisao,c5fe64fa-b11a-4365-a560-f5660dd256ab.html"
Estrela_Clube_Primeiro_de_Maio,0,"http://archive.org/wayback/available?url=http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/4/20/Futebol-Napoleao-Brandao-novo-tecnico-Maio-Benguela,a8f9b333-2834-4e0f-8faa-33ffd4944cb6.html","http://web.archive.org/web/20171201030948/http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/4/20/Futebol-Napoleao-Brandao-novo-tecnico-Maio-Benguela,a8f9b333-2834-4e0f-8faa-33ffd4944cb6.html",https://today.archive.,"/20171127001956/http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/4/20/Futebol-Napoleao-Brandao-novo-tecnico-Maio-Benguela,a8f9b333-2834-4e0f-8faa-33ffd4944cb6.html"
Estrela_Clube_Primeiro_de_Maio,0,"http://archive.org/wayback/available?url=http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/11/50/Futebol-Agostinho-Tramagal-assume-comando-tecnico-Maio-Benguela,4e67291f-a211-4116-971c-e73203a816dd.html","http://web.archive.org/web/20191018015743/http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/11/50/Futebol-Agostinho-Tramagal-assume-comando-tecnico-Maio-Benguela,4e67291f-a211-4116-971c-e73203a816dd.html",https://today.archive.,"/20171127004005/http://www.angop.ao/angola/pt_pt/noticias/desporto/2004/11/50/Futebol-Agostinho-Tramagal-assume-comando-tecnico-Maio-Benguela,4e67291f-a211-4116-971c-e73203a816dd.html"
